,Brand Name,Specific Bar Origin,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Bean Origin
137,Artisan du Chocolat,Orinoqua Region,1181,2013,72%,U.K.,2.75,Trinitario,Colombia
138,Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
139,Askinosie,Tenende,647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania
140,Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras
141,Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines
142,Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico
143,Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3.0,Forastero (Arriba),Ecuador
145,Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5,Trinitario,Papua New Guinea
146,Bahen & Co.,Sambirano,995,2012,70%,Australia,3.0,Trinitario,Madagascar
147,Bahen & Co.,Bahia,999,2012,70%,Australia,2.5,Trinitario,Brazil
149,Bakau,Bambamarca,1454,2015,70%,Peru,2.75,Criollo,Peru
150,Bakau,Huallabamba,1454,2015,70%,Peru,3.5,Criollo,Peru
151,Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5,Trinitario,Brazil
152,Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4.0,Nacional,Peru
153,Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25,Trinitario,Dominican Republic
154,Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5,Criollo,Mexico
155,Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
156,Baravelli's,single estate,955,2012,80%,Wales,2.75,Trinitario,Costa Rica
157,Batch, Batch 3,1840,2016,65%,U.S.A.,3.5,Trinitario,Dominican Republic
158,Batch,Brazil,1868,2016,70%,U.S.A.,3.75,Trinitario,Brazil
159,Batch,Ecuador,1880,2016,65%,U.S.A.,3.25,Forastero (Arriba),Ecuador
160,Beau Cacao,Asajaya E,1948,2017,73%,U.K.,3.0,Trinitario,Malaysia
161,Beau Cacao,Serian E.,1948,2017,72%,U.K.,3.25,Trinitario,Malaysia
162,Beehive, Batch 20316,1784,2016,80%,U.S.A.,2.75,Trinitario,Brazil
163,Beehive, Batch 31616,1784,2016,70%,U.S.A.,2.75,Trinitario,Dominican Republic
164,Beehive, Batch 31516,1784,2016,70%,U.S.A.,2.75,Forastero (Arriba),Ecuador
165,Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75,Forastero (Arriba),Ecuador
166,Belcolade,Costa Rica,586,2010,64%,Belgium,2.75,Trinitario,Costa Rica
167,Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75,Trinitario,Papua New Guinea
168,Belcolade,Peru,586,2010,64%,Belgium,2.75,Criollo,Peru
169,Belcolade,Ecuador,586,2010,71%,Belgium,3.5,Forastero (Arriba),Ecuador
170,Bellflower,Kakao Kamili,1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
171,Bellflower,Alto Beni,1804,2016,70%,U.S.A.,3.25,Criollo,Bolivia
172,Bellflower,Oko Caribe,1864,2016,70%,U.S.A.,3.5,Trinitario,Dominican Republic
173,Belyzium,Belize south,1768,2016,83%,Germany,2.75,Trinitario,Belize
174,Belyzium,Belize south,1768,2016,78%,Germany,3.0,Trinitario,Belize
175,Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize
176,Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba
177,Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
178,Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
179,Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4.0,Trinitario,Ecuador
180,Benoit Nihant,Bali,757,2011,72%,Belgium,4.0,Trinitario,Indonesia
181,Benoit Nihant,Somia Plantation,773,2011,72%,Belgium,3.75,Trinitario,Madagascar
183,Beschle,Madagascar,636,2011,64%,Switzerland,3.0,Trinitario,Madagascar
184,Beschle,Maracaibo,636,2011,88%,Switzerland,3.0,Criollo,Venezuela
185,Beschle,Indigena Amazonia,636,2011,72%,Switzerland,3.5,Criollo,Venezuela
186,Beschle,Ecuador,636,2011,72%,Switzerland,4.0,Forastero (Arriba),Ecuador
187,Beschle,Carenero S.,508,2010,70%,Switzerland,3.25,Trinitario,Venezuela
188,Beschle,Porcelana,508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
189,Beschle,Java,508,2010,64%,Switzerland,3.5,Trinitario,Indonesia
190,Beschle,Ocumare,508,2010,72%,Switzerland,3.5,Criollo,Venezuela
191,Bisou, American style,1482,2015,76%,U.S.A.,2.5,Trinitario,Nicaragua
192,Bisou,San Andres,1486,2015,76%,U.S.A.,2.5,Trinitario,Costa Rica
193,Bisou,San Andres,1486,2015,78%,U.S.A.,2.5,Trinitario,Costa Rica
194,Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize
195,Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana
196,Bittersweet Origins,Bali,478,2010,75%,U.S.A.,3.25,Trinitario,Indonesia
197,Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
198,Bittersweet Origins,Bali,558,2010,65%,U.S.A.,2.75,Trinitario,Indonesia
199,Bittersweet Origins,Sambirano,565,2010,70%,U.S.A.,3.0,Trinitario,Madagascar
200,Bittersweet Origins,Ocumare,565,2010,78%,U.S.A.,3.0,Criollo,Venezuela
201,Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3.0,Trinitario,Dominican Republic
202,Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5,Trinitario,Dominican Republic
203,Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3.25,Trinitario,Madagascar
204,Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
